,Fold,Epoch,Loss,Tra_AUC,Tra_acc,Val_AUC,Val_acc,Val_f1
0,0,30,0.8601582163856143,0.888357426303855,0.6706349206349206,0.8698559670781892,0.5972222222222222,0.5936766887044864
1,1,30,0.8404967169913035,0.9009537456958092,0.6547619047619048,0.888374485596708,0.6388888888888888,0.6308850702143385
2,2,30,0.7948550742769999,0.9057447824808936,0.6845238095238095,0.8940329218106996,0.6527777777777778,0.6514555330731802
3,3,30,0.8390129965449137,0.8980995947761821,0.6676587301587301,0.9086934156378601,0.6527777777777778,0.6424251152073732
4,4,30,0.7726463666037907,0.9187859557403208,0.689484126984127,0.9022633744855966,0.6666666666666666,0.6649690465866938
5,5,30,0.850186406619965,0.8970287960863357,0.6736111111111112,0.8850308641975309,0.6388888888888888,0.6343957400833462
6,6,30,0.8294301941281274,0.8992202590912908,0.6617063492063492,0.9079218106995885,0.6944444444444444,0.687933266058266
7,7,30,0.8374413951994881,0.8976140610565213,0.6865079365079365,0.8940329218106995,0.6666666666666666,0.6639211665527455
8,8,30,0.8149878184000651,0.9053721025447217,0.685515873015873,0.8917181069958846,0.6666666666666666,0.6629420195596666
9,9,30,0.8798039924530756,0.8920907869320568,0.6448412698412699,0.8896604938271604,0.7083333333333334,0.700577171319857
10,10,30,0.8171189427375793,0.902989050558495,0.6557539682539683,0.8870884773662551,0.5972222222222222,0.5878091811154691
11,11,30,0.825860409509568,0.9011820777693793,0.6706349206349206,0.875,0.625,0.6180474095796676
12,12,30,0.8863385092644465,0.8819090136054422,0.6309523809523809,0.8716563786008231,0.6527777777777778,0.6360109115948938
13,13,30,0.8034194707870483,0.9124923889308809,0.6944444444444444,0.9146090534979423,0.6944444444444444,0.6930794793023896
14,14,30,0.8466599489015246,0.8956141870328379,0.6448412698412699,0.9112654320987654,0.6666666666666666,0.6561011904761904
