fold,electrode,rep,baseline_acc,baseline_auc,baseline_f1,perm_acc,perm_auc,perm_f1,pi_acc,pi_auc,pi_f1
0,0,0,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8641975308641976,0.5934260202552886,0.02777777777777779,0.001286008230452551,0.026609354316376344
0,0,1,0.625,0.8654835390946501,0.6200353745716649,0.5833333333333334,0.8510802469135803,0.5745535714285714,0.04166666666666663,0.014403292181069838,0.04548180314309347
0,0,2,0.625,0.8654835390946501,0.6200353745716649,0.5694444444444444,0.8513374485596709,0.5652097902097902,0.05555555555555558,0.014146090534979283,0.05482558436187468
0,0,3,0.625,0.8654835390946501,0.6200353745716649,0.5833333333333334,0.8587962962962963,0.5758939734933733,0.04166666666666663,0.006687242798353865,0.044141401078291564
0,0,4,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8600823045267489,0.6200823643410852,0.0,0.005401234567901203,-4.698976942030253e-05
0,0,5,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8508230452674896,0.5934260202552886,0.02777777777777779,0.014660493827160503,0.026609354316376344
0,0,6,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8464506172839507,0.5914395363408521,0.02777777777777779,0.019032921810699488,0.028595838230812798
0,0,7,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8616255144032922,0.5939127032877033,0.02777777777777779,0.0038580246913579863,0.026122671283961618
0,0,8,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8603395061728396,0.5918726803411379,0.02777777777777779,0.005144032921810537,0.028162694230526975
0,0,9,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.856224279835391,0.5903958944281524,0.02777777777777779,0.00925925925925919,0.029639480143512476
0,1,0,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8665123456790124,0.6051435406698564,0.01388888888888884,-0.0010288065843622185,0.014891833901808482
0,1,1,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8557098765432098,0.6203869047619048,0.0,0.009773662551440299,-0.0003515301902399237
0,1,2,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8500514403292181,0.6077188940092165,0.01388888888888884,0.015432098765432056,0.012316480562448384
0,1,3,0.625,0.8654835390946501,0.6200353745716649,0.6388888888888888,0.8528806584362141,0.6310905103668262,-0.01388888888888884,0.012602880658436066,-0.011055135795161264
0,1,4,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8541666666666667,0.6203869047619048,0.0,0.011316872427983404,-0.0003515301902399237
0,1,5,0.625,0.8654835390946501,0.6200353745716649,0.6388888888888888,0.8577674897119342,0.6361644068297294,-0.01388888888888884,0.007716049382715973,-0.016129032258064502
0,1,6,0.625,0.8654835390946501,0.6200353745716649,0.625,0.871141975308642,0.6230512168012168,0.0,-0.005658436213991869,-0.0030158422295518683
0,1,7,0.625,0.8654835390946501,0.6200353745716649,0.6527777777777778,0.8585390946502058,0.6487294900648239,-0.02777777777777779,0.006944444444444309,-0.028694115493159034
0,1,8,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8582818930041153,0.6253259626197216,0.0,0.007201646090534863,-0.00529058804805671
0,1,9,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.856224279835391,0.5934260202552886,0.02777777777777779,0.00925925925925919,0.026609354316376344
0,2,0,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8636831275720165,0.6196296195759466,0.0,0.0018004115226336603,0.000405754995718266
0,2,1,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8626543209876543,0.6163467321571772,0.0,0.002829218106995879,0.0036886424144877417
0,2,2,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8680555555555556,0.6196296195759466,0.0,-0.0025720164609054352,0.000405754995718266
0,2,3,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8492798353909465,0.6029905913978494,0.01388888888888884,0.01620370370370361,0.017044783173815525
0,2,4,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8518518518518519,0.6198932926829268,0.0,0.013631687242798285,0.00014208188873809924
0,2,5,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8557098765432098,0.6206127206127207,0.0,0.009773662551440299,-0.0005773460410557485
0,2,6,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8685699588477367,0.6168229557389346,0.0,-0.0030864197530865445,0.0032124188327302683
0,2,7,0.625,0.8654835390946501,0.6200353745716649,0.5972222222222222,0.8510802469135803,0.5910858294930875,0.02777777777777779,0.014403292181069838,0.028949545078577388
0,2,8,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8541666666666666,0.603720238095238,0.01388888888888884,0.011316872427983515,0.016315136476426906
0,2,9,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8557098765432098,0.6034156976744186,0.01388888888888884,0.009773662551440299,0.016619676897246305
0,3,0,0.625,0.8654835390946501,0.6200353745716649,0.6111111111111112,0.8688271604938271,0.6065778533084374,0.01388888888888884,-0.003343621399176988,0.013457521263227523
0,3,1,0.625,0.8654835390946501,0.6200353745716649,0.6388888888888888,0.8775720164609053,0.6312693498452012,-0.01388888888888884,-0.01208847736625518,-0.011233975273536312
0,3,2,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8636831275720165,0.6225777319527319,0.0,0.0018004115226336603,-0.0025423573810670064
0,3,3,0.625,0.8654835390946501,0.6200353745716649,0.625,0.8505658436213992,0.6195313423136004,0.0,0.014917695473250947,0.0005040322580645018
