fold,electrode,rep,baseline_acc,baseline_auc,baseline_f1,perm_acc,perm_auc,perm_f1,pi_acc,pi_auc,pi_f1
5,0,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8706275720164609,0.6244588744588744,0.01388888888888884,0.007973251028806638,0.013062210112066763
5,0,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8724279835390947,0.6090710647586709,0.02777777777777768,0.006172839506172867,0.028450019812270244
5,0,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.5972222222222222,0.8737139917695473,0.5935845711840577,0.04166666666666663,0.004886831275720205,0.043936513386883425
5,0,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8726851851851852,0.6232947232947234,0.01388888888888884,0.005915637860082312,0.014226361276217792
5,0,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8814300411522634,0.625470994014753,0.01388888888888884,-0.002829218106995879,0.012050090556188109
5,1,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8768004115226338,0.6226576942895728,0.01388888888888884,0.0018004115226337714,0.014863390281368294
5,1,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.888888888888889,0.6233317684930588,0.01388888888888884,-0.010288065843621408,0.014189316077882319
5,1,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8698559670781892,0.6225742837785521,0.01388888888888884,0.008744855967078302,0.014946800792389081
5,1,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8726851851851852,0.6375210845709411,0.0,0.005915637860082312,0.0
5,1,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8719135802469136,0.6062066932035972,0.02777777777777768,0.006687242798353976,0.03131439136734393
5,2,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8757716049382717,0.6246607184107185,0.01388888888888884,0.002829218106995879,0.01286036616022268
5,2,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8757716049382717,0.6218093307967935,0.01388888888888884,0.002829218106995879,0.015711753774147685
5,2,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8690843621399178,0.6118055555555556,0.02777777777777768,0.009516460905349744,0.02571552901538554
5,2,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8747427983539094,0.6375210845709411,0.0,0.0038580246913580973,0.0
5,2,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.88940329218107,0.6381944444444444,0.0,-0.010802469135802406,-0.0006733598735032542
5,3,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8698559670781894,0.6375210845709411,0.0,0.008744855967078191,0.0
5,3,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8708847736625513,0.6109471981816592,0.02777777777777768,0.007716049382716195,0.02657388638928193
5,3,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6527777777777778,0.8760288065843622,0.6500193498452013,-0.01388888888888895,0.002572016460905324,-0.012498265274260123
5,3,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.5972222222222222,0.8685699588477367,0.58996138996139,0.04166666666666663,0.010030864197530853,0.04755969460955112
5,3,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8806584362139918,0.6375210845709411,0.0,-0.002057613168724215,0.0
5,4,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8726851851851851,0.6096142088455739,0.02777777777777768,0.005915637860082423,0.02790687572536721
5,4,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8791152263374487,0.6375210845709411,0.0,-0.0005144032921811093,0.0
5,4,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.8742283950617284,0.6097258548871453,0.02777777777777768,0.0043724279835390956,0.027795229683795886
5,4,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6527777777777778,0.8811728395061729,0.6506914884523992,-0.01388888888888895,-0.002572016460905324,-0.01317040388145807
5,4,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8804012345679012,0.6367496507202389,0.0,-0.0018004115226336603,0.0007714338507022189
5,5,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8834876543209876,0.624317675788264,0.01388888888888884,-0.004886831275720094,0.013203408782677117
5,5,1,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.625,0.8698559670781892,0.6249278499278499,0.01388888888888884,0.008744855967078302,0.012593234643091256
5,5,2,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6111111111111112,0.861625514403292,0.6099415204678362,0.02777777777777768,0.016975308641975495,0.027579564103104914
5,5,3,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.864454732510288,0.6347781217750258,0.0,0.014146090534979505,0.002742962795915349
5,5,4,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.5972222222222222,0.8662551440329218,0.596128451816058,0.04166666666666663,0.012345679012345734,0.04139263275488314
5,6,0,0.6388888888888888,0.8786008230452675,0.6375210845709411,0.6388888888888888,0.8693415637860082,0.637938363054858,0.0,0.0092592592592593,-0.00041727848391681643
