,Fold,Epoch,Loss,Tra_AUC,Tra_acc,Val_AUC,Val_acc,Val_f1
0,0,200,0.34936433510174825,0.978943583606282,0.8482142857142857,0.9544753086419754,0.7777777777777778,0.7780507780507782
1,1,200,0.36307145063839263,0.9785525321239608,0.8412698412698413,0.9465020576131687,0.7361111111111112,0.733779832464043
2,2,200,0.3736350207574784,0.9763400730662635,0.8422619047619048,0.9557613168724279,0.7638888888888888,0.7638685346115688
3,3,200,0.3626331958978895,0.9797939237423364,0.8601190476190477,0.9647633744855968,0.7638888888888888,0.7665732959850606
4,4,200,0.34091709719763863,0.9817885487528344,0.8521825396825397,0.9429012345679012,0.7361111111111112,0.7325903675649006
5,5,200,0.3328515333788736,0.9817531179138321,0.8601190476190477,0.9585905349794238,0.7916666666666666,0.7917029391037598
6,6,200,0.3327330769527526,0.981645513143529,0.8601190476190477,0.9727366255144033,0.7916666666666666,0.791966966966967
7,7,200,0.3458491341462211,0.9804119950449315,0.8442460317460317,0.9578189300411523,0.7777777777777778,0.7742840401376987
8,8,200,0.35942873713516055,0.9796823822121441,0.8492063492063492,0.9454732510288066,0.75,0.7490196078431373
9,9,200,0.3276609004963012,0.9821953472747122,0.8650793650793651,0.9537037037037037,0.7638888888888888,0.7622693096377307
10,10,200,0.35630473991235095,0.9795760896951373,0.8452380952380952,0.9688786008230453,0.8055555555555556,0.803031629318394
11,11,200,0.3522798743039843,0.9800983665070966,0.8442460317460317,0.9603909465020576,0.7777777777777778,0.7775128069245716
12,12,200,0.3537661156484059,0.9779882632065171,0.8333333333333334,0.9665637860082305,0.8055555555555556,0.8047082797082797
