electrode,pi_acc_mean,pi_acc_std,pi_auc_mean,pi_auc_std,pi_f1_mean,pi_f1_std,n_observations,rank_by_acc,rank_by_auc,rank_by_f1
28,0.012592592592592593,0.016492668650959472,0.0037071330589849055,0.007193957383588641,0.01232500513202064,0.01662642048463094,75,46,62,46
3,0.012037037037037039,0.020843757819016113,0.00457133058984911,0.008168260490083642,0.012127310734849009,0.02118122785131711,75,47,52,47
45,0.011851851851851862,0.01960111344012214,0.007146776406035659,0.008713035647113529,0.011596515172732288,0.020335361589895583,75,48,1,52
15,0.011851851851851855,0.02063763608396672,0.005089163237311383,0.007056981097082453,0.012114452433334118,0.021714280197015053,75,49,35,48
21,0.011851851851851851,0.023584967567066614,0.00405006858710562,0.006097521196071384,0.011724231071500049,0.02443252530226259,75,50,59,51
36,0.01166666666666667,0.018414371808158126,0.0039026063100137134,0.006879437271377057,0.012046670027709686,0.019531365406593934,75,51,60,49
8,0.011481481481481476,0.01888034900868628,0.004303840877914944,0.006316188874813695,0.011860017937076224,0.019488950181522594,75,52,57,50
17,0.0112962962962963,0.01807912145017528,0.005092592592592596,0.007031435681981599,0.011144479636249713,0.018631815823680155,75,53,34,53
23,0.011296296296296299,0.01919799488102589,0.0038511659807956115,0.0056203873711285915,0.010592455150495438,0.02006950198179474,75,54,61,55
4,0.01074074074074075,0.019451593137496424,0.00425582990397804,0.006638174860017104,0.010701782248498218,0.019872607468669874,75,55,58,54
11,0.010740740740740749,0.01863016892852602,0.004687928669410148,0.008055633739883744,0.010493313346382855,0.019451049646225512,75,56,47,56
26,0.010370370370370377,0.01897949768680812,0.004530178326474623,0.007107043512610502,0.009839766103140996,0.019672807212750446,75,57,53,59
25,0.010370370370370375,0.018562884792049813,0.004639917695473251,0.006731669711557498,0.010225128860658624,0.01842202492650508,75,58,51,57
55,0.010185185185185195,0.019419403295040934,0.004320987654320999,0.007649375490004914,0.00960568134644782,0.019720781614426912,75,59,56,60
24,0.009814814814814816,0.018935495700981426,0.004677640603566514,0.006094822982188161,0.009885056150076165,0.019172778318497605,75,60,49,58
39,0.00944444444444445,0.021800617734373185,0.004801097393689979,0.006911971584000748,0.009341914046538873,0.022960285154471245,75,61,42,61
22,0.007407407407407408,0.01901243234556815,0.004735939643347047,0.007533275021683487,0.007450625580449062,0.019519694735142982,75,62,45,62
