electrode,pi_acc_mean,pi_acc_std,pi_auc_mean,pi_auc_std,pi_f1_mean,pi_f1_std,n_observations,rank_by_acc,rank_by_auc,rank_by_f1
60,0.013703703703703702,0.020289424057582172,0.005857338820301788,0.006617039917013353,0.013540221087168907,0.02111579658292501,150,35,8,34
53,0.01333333333333334,0.01930143425127009,0.005691015089163237,0.007315858309780676,0.013333211230206126,0.02022739054896862,150,36,18,37
18,0.013333333333333336,0.020911176965077646,0.005524691358024688,0.007549794206014898,0.013142113636493133,0.02148996754303161,150,37,23,40
7,0.013148148148148148,0.020656198653750665,0.004266117969821673,0.005458038633300399,0.01322124279193422,0.02145560884080475,150,38,61,38
52,0.013055555555555562,0.020241084654624895,0.005310356652949238,0.007367131532875399,0.013394292772947661,0.020453978310199884,150,39,30,35
34,0.013055555555555558,0.019122860053291734,0.004821673525377233,0.006676025577526941,0.01283585677196502,0.019656062171391625,150,40,49,45
31,0.012962962962962966,0.022623306872884916,0.005787037037037028,0.008645582591811222,0.012806694681969604,0.02312776519004387,150,41,13,46
4,0.012870370370370377,0.019582223768596058,0.00513374485596707,0.006614404750970395,0.013032852584624933,0.0198677119121832,150,42,37,41
5,0.012870370370370372,0.02110938576358185,0.005474965706447185,0.007929913836024921,0.012847398311004487,0.021594530142371636,150,43,29,44
3,0.012870370370370372,0.020986367257889514,0.004845679012345684,0.007813940681560952,0.012738479007997738,0.021250917475381572,150,43,48,48
8,0.012777777777777777,0.01927727221269174,0.0046990740740740725,0.006436815106434946,0.013183735616643771,0.019893269206434198,150,45,53,39
43,0.01268518518518519,0.01976909300250762,0.005574417009602191,0.007780255091223976,0.012889871823816386,0.020477958572310457,150,46,22,43
36,0.012685185185185188,0.02053992156601304,0.004228395061728388,0.007111847371046806,0.012933131685640894,0.021223668832919998,150,47,62,42
2,0.012592592592592594,0.020055816002269498,0.005500685871056238,0.006223324415848638,0.01278516487677945,0.02073241524575798,150,48,26,47
49,0.01240740740740741,0.021295620821675354,0.005579561042523995,0.007668776639228684,0.0122241408870185,0.022135386098547,150,49,21,49
40,0.01222222222222222,0.020285169706807264,0.004912551440329221,0.007418934512419581,0.012023995491261583,0.020616828238350787,150,50,44,51
39,0.012129629629629636,0.02130473792206853,0.004898834019204387,0.007764308573185138,0.01203954902958599,0.02222207768454772,150,51,45,50
28,0.01212962962962963,0.019329361865339657,0.004269547325102876,0.007578571065107771,0.012018619336028838,0.019655531159321858,150,52,60,52
25,0.011851851851851855,0.019601387155890507,0.0046879286694101446,0.006624751478277357,0.011856780659407653,0.01989524356514614,150,53,54,53
55,0.011666666666666674,0.018839805508681293,0.0047427983539094715,0.007359916930522621,0.011438767867292777,0.01932655905287291,150,54,50,55
11,0.01157407407407408,0.019800502310134527,0.004703360768175581,0.007440840137801208,0.011437953126638757,0.0205327277619276,150,55,52,56
45,0.011481481481481488,0.019225265894933886,0.006306584362139908,0.008198332575787214,0.011100384440188234,0.019920509119206006,150,56,6,58
26,0.011481481481481485,0.019822067338651567,0.00520576131687243,0.007573746951801141,0.011194112493387986,0.020231988619350424,150,57,36,57
29,0.011296296296296303,0.020818517393073766,0.004547325102880662,0.006445201284965149,0.011577050492770807,0.021312790404366976,150,58,58,54
35,0.011203703703703709,0.0218092135526558,0.004879972565157749,0.007642040803639641,0.01102681353644392,0.022258333648637198,150,59,46,59
17,0.010185185185185191,0.018038458223686698,0.004703360768175585,0.0068656695295379305,0.010045470882442856,0.018425782714152263,150,60,51,60
24,0.009259259259259264,0.019882064521298506,0.005005144032921802,0.006489980113486331,0.009150163040429963,0.020095771027138495,150,61,41,61
22,0.008518518518518522,0.021395090152167683,0.004852537722908092,0.007682295757657284,0.008454666485608749,0.021830208608050995,150,62,47,62
